date,fund_key,fund_name,estimated_nav_pct,actual_nav_pct,error_pct,abs_error_bps,directional_match,coverage_pct,confidence,signal,reconciled_at
2026-09-21,helios,Helios Flexi Cap Fund Direct Growth,-0.16,-0.25,+0.09,8.7,TRUE,96.2,HIGH,NORMAL (NO TRIGGER),2026-09-22 22:47:16
2026-09-21,motilal_midcap,Motilal Oswal Midcap Fund Direct Growth,-0.06,-0.26,+0.20,19.9,TRUE,96.4,HIGH,NORMAL (NO TRIGGER),2026-09-22 22:47:16
2026-09-21,quant_multiasset,Quant Multi Asset Allocation Fund Growth Option Direct Plan,-0.41,-0.45,+0.04,3.8,TRUE,79.8,HIGH,NORMAL (NO TRIGGER),2026-09-22 22:47:16
2026-09-21,trust_smallcap,TrustMF Small Cap Fund Direct Growth,-0.02,-0.07,+0.05,5.1,TRUE,93.5,HIGH,NORMAL (NO TRIGGER),2026-09-22 22:47:16
